ID	Longitude	Latitude
AZ001	132.945278	33.431944
AZ002	140.304465	36.686076
AZ003	140.287514	36.524881
AZ004	140.28333	36.621263
AZ005	140.6865	37.077417
AZ006	139.656122	37.58448
AZ007	139.659534	37.59798
AZ008	139.476111	37.292778
AZ009	140.202777	36.818973
AZ010	140.206318	36.771016
AZ011	140.612898	37.827311
AZ012	140.394566	38.614381
AZ013	134.87038	35.351794
AZ014	134.838333	34.928889
AZ015	137.924976	37.041712
AZ016	135.087461	34.269737
AZ017	135.884775	33.892028
AZ018	133.326111	36.191389
AZ019	138.496667	35.556389
AZ020	135.148675	35.399731
AZ021	131.037272	31.704712
AZ022	131.683492	32.623811
AZ023	131.301207	33.530109
AZ024	132.713513	33.770755
AZ025	133.282818	33.40969
AZ026	133.442554	33.509981
AZ027	133.77106	33.547594
AZ028	140.073889	38.368056
AZ029	134.071389	35.0925
AZ030	133.825976	34.725918
AZ031	134.246262	35.415172
AZ032	140.4025	36.759
AZ033	130.253649	33.258301
AZ034	132.708611	32.829417
AZ035	130.329806	33.270167
AZ036	130.289667	33.187528
AZ037	130.289667	33.187528
AZ038	130.324611	33.156083
AZ039	130.257472	33.212889
AZ040	140.066667	36.233333
AZ041	140.116667	36.1
AZ042	135.207778	35.065833
AZ043	135.207778	35.065833
AZ044	135.153333	35.016944
AZ045	135.167778	35.063611
AZ046	135.140833	35.061667
AZ047	140.132938	36.11738
AZ048	140.119125	36.095199
AZ049	140.471535	36.681361
AZ050	140.390768	36.995287
AZ051	140.612898	37.827311
AZ052	138.946785	37.449199
AZ053	140.867987	38.149981
AZ054	138.393051	37.126458
AZ055	135.088663	34.268777
AZ056	135.426194	34.087694
AZ057	135.415466	33.684916
AZ058	135.967258	33.660329
AZ059	136.187092	34.066301
AZ060	139.993646	35.240134
AZ061	129.933389	33.351972
AZ062	137.931667	35.6385
AZ063	130.926889	34.127389
AZ064	129.094722	33.053889
AZ065	129.004528	32.879167
AZ066	133.901828	34.885825
AZ067	138.279444	36.351111
AZ068	134.260833	35.421389
AZ069	134.260833	35.421389
AZ070	134.260833	35.421389
AZ071	137.332867	37.525033
AZ072	134.159444	35.338611
AZ073	134.176944	35.480833
AZ074	140.521389	39.577222
AZ075	135.205833	35.120556
AZ076	134.68095	35.557983
AZ077	135.1036	35.718133
AZ078	139.940639	38.89625
AZ079	137.813667	35.323583
AZ080	129.328806	34.398417
AZ081	129.336139	34.631667
AZ082	129.424361	34.604167
AZ083	129.236444	34.159306
AZ084	138.388417	37.903917
AZ085	132.51667	33.4363
AZ087	133.536588	33.905388
AZ088	134.521771	33.73745
AZ089	134.161265	33.300856
AZ090	133.271833	36.249761
AZ091	133.126347	36.104828
AZ092	132.959317	36.066692
AZ093	140.702671	36.950496
AZ094	140.702671	36.950496
AZ095	140.702671	36.950496
AZ097	132.803267	35.403633
AZ098	131.8696	34.7207
AZ099	139.562861	35.83725
AZ100	139.371722	36.015611
AZ101	139.179417	35.727972
AZ102	138.848472	35.566583
AZ103	128.729831	32.73311
AZ104	140.523611	39.508889
AZ105	140.969614	37.801437
AZ106	138.987617	35.620897
AZ107	138.869836	35.357239
AZ108	129.703417	33.761944
AZ109	135.765094	35.074308
AZ110	139.025917	36.651222
AZ111	138.618833	36.550972
AZ112	138.728806	36.232778
AZ113	138.833361	36.244139
AZ114	129.442917	33.300528
AZ115	130.129306	32.365306
AZ116	130.333306	32.454722
AZ117	136.462567	34.640567
AZ118	139.93575	37.526717
AZ119	133.77645	35.48845
AZ120	133.8689	35.407667
AZ121	137.179822	36.593289
AZ122	136.997278	36.80975
AZ123	136.998083	37.128278
AZ124	137.087917	37.346639
AZ125	136.591306	36.589111
AZ126	136.387556	36.341722
AZ127	136.169139	35.882333
AZ128	136.6425	35.537
AZ129	137.104694	35.476194
AZ130	129.928275	33.051931
AZ131	129.819861	33.101333
AZ132	129.672556	33.283389
AZ133	129.808892	32.643767
AZ134	138.94405	36.241255
AZ135	136.876944	37.372222
AZ136	136.876944	37.372222
AZ137	136.768889	36.822778
AZ138	136.850278	36.668333
AZ139	130.933194	33.336333
AZ140	131.074667	33.267306
AZ141	131.329806	33.245306
AZ142	131.328917	33.245667
AZ143	131.585222	32.958444
AZ144	131.316867	32.719011
AZ145	138.604792	35.36646
AZ146	138.78995	35.132497
AZ147	130.74525	31.449639
AZ148	130.941944	32.245139
AZ149	130.830194	32.686861
AZ151	138.9275	36.114167
AZ152	138.923056	37.349722
AZ153	138.990278	37.351389
AZ154	138.933056	37.347222
AZ155	139.006944	37.313889
AZ156	139.048333	37.239722
AZ157	139.874444	37.191111
AZ158	139.873333	37.195556
AZ159	139.377222	37.027778
AZ160	138.883333	36.096944
AZ161	138.923056	37.349722
AZ163	138.783056	36.056389
AZ164	139.5725	36.958056
AZ165	139.467222	37.127222
AZ166	139.466944	37.123611
AZ167	139.423611	37.394167
AZ168	139.613333	37.328889
AZ169	138.905	35.985556
AZ170	138.546944	36.06
AZ171	138.636389	36.988889
AZ172	138.63	36.839167
AZ173	138.63	36.839167
AZ174	137.863056	35.273889
AZ175	131.272222	31.493611
AZ176	140.389722	36.742222
AZ177	140.313611	36.858611
AZ178	140.313611	36.868056
AZ179	140.313611	36.868056
AZ180	140.668611	36.6875
AZ181	140.654444	36.795556
AZ182	140.348611	36.865
AZ183	140.348611	36.865
AZ184	140.347661	36.839275
AZ185	140.350556	36.986944
AZ186	140.433889	37.015
AZ187	140.545186	36.958011
AZ188	140.539167	37.008889
AZ189	140.758308	36.908058
