ID	Stem color	Pod color	Number of seeds per pod	Seed weight(g)	Seed-coat color	flowering to maturing duration	Flower color	Pod length(cm)	Seed shape	Lower leaflet shape	Upper leaflet shape	Climbing habit	Trichome
AZ026	9	7	9.4	1.7	3	43	5	7	5	1	1	3	4
AZ026	9	7	9.8	2.3	3	32	5	7	5	1	5	4	3
AZ026	9	7	6.8	3.6	3	24	5	5	3	1	1	3	3
AZ026	9	7	9.4	3.7	3	32	5	7	7	1	1	3	4
AZ026	9	7	8.6	3.3	3	93	5	6	5	5	5	3	3
AZ026	9	7	7.8	2.5	3	27	5	6	5	5	5	3	3
AZ026	9	7	9.8	2.3	3	42	5	7	5	5	7	3	5
AZ072	9	7	6.3	1.7	3	21	5	10	5	1	5	3	5
AZ073	9	7	7.2	1.8	3	20	5	10	5	1	5	3	5
AZ085	9	7	7.5	2.5	3	24	5	6	3	5	7	3	3
AZ087	9	7	8.7	2	9	37	5	6	3	5	7	3	3
AZ088	9	7	7.3	3.7	9	27	5	4	5	5	5	3	3
AZ089	9	7	6.8	3.5	3	34	5	6	5	5	7	3	3
AZ093	9	7	10	3	3	30	5	7	5	1	1	3	4
AZ094	9	7	8.6	2.7	3	32	5	5	5	1	1	3	4
AZ095	9	7	10	3.2	3	28	5	7	5	1	5	3	4
AZ097	9	7	7.8	2.4	3	28	5	5	5	5	5	3	3
AZ099	9	7	10.2	3	3	26	5	7	5	1	5	3	4
AZ100	9	7	8.2	3.3	3	20	5	6	5	1	5	3	4
AZ101	9	7	10.6	2.8	3	24	5	6	5	1	5	3	4
AZ102	9	7	11.4	2.4	3	31	5	6	5	1	1	3	4
AZ103	9	7	10.6	2.7	3	28	5	8	5	1	1	3	4
AZ104	9	7	9.8	2.5	3	33	5	7	5	1	5	3	4
AZ108	9	7	10.6	1.7	3	30	5	7	5	5	5	3	5
AZ109	9	5	10.8	2.5	3	40	5	8	7	5	5	3	5
AZ110	9	7	11.4	3.6	3	30	5	8	7	1	1	3	5
AZ111	9	7	8.2	2.7	3	28	5	6	7	5	7	3	5
