sample population group sex
AZ001 JP_LR JP_LR 1
AZ005 JP_WL JP_WL 1
AZ006 JP_WL JP_WL 1
AZ008 JP_WL JP_WL 1
AZ010 JP_WL JP_WL 1
AZ011 JP_WL JP_WL 1
AZ012 JP_WL JP_WL 1
AZ013 JP_WL JP_WL 1
AZ014 JP_WL JP_WL 1
AZ015 JP_WL JP_WL 1
AZ017 JP_LR JP_LR 1
AZ019 JP_WL JP_WL 1
AZ021 JP_WL JP_WL 1
AZ022 JP_WL JP_WL 1
AZ023 JP_WL JP_WL 1
AZ024 JP_WL JP_WL 1
AZ025 JP_WL JP_WL 1
AZ026 JP_WL JP_WL 1
AZ027 JP_WL JP_WL 1
AZ028 JP_WL JP_WL 1
AZ029 JP_WL JP_WL 1
AZ030 JP_WL JP_WL 1
AZ031 JP_WL JP_WL 1
AZ032 JP_WL JP_WL 1
AZ035 JP_WL JP_WL 1
AZ036 JP_WL JP_WL 1
AZ037 JP_WL JP_WL 1
AZ041 JP_WL JP_WL 1
AZ043 JP_WL JP_WL 1
AZ044 JP_WL JP_WL 1
AZ046 JP_WL JP_WL 1
AZ048 JP_WL JP_WL 1
AZ049 JP_WL JP_WL 1
AZ050 JP_WL JP_WL 1
AZ052 JP_WL JP_WL 1
AZ053 JP_WL JP_WL 1
AZ054 JP_WL JP_WL 1
AZ055 JP_WL JP_WL 1
AZ057 JP_WL JP_WL 1
AZ058 JP_WL JP_WL 1
AZ059 JP_WL JP_WL 1
AZ060 JP_WL JP_WL 1
AZ061 JP_WL JP_WL 1
AZ062 JP_WL JP_WL 1
AZ063 JP_LR JP_LR 1
AZ065 JP_LR JP_LR 1
AZ066 JP_WL JP_WL 1
AZ067 JP_WL JP_WL 1
AZ071 JP_LR JP_LR 1
AZ072 JP_WL JP_WL 1
AZ075 JP_WL JP_WL 1
AZ076 JP_WL JP_WL 1
AZ077 JP_WL JP_WL 1
AZ078 JP_WL JP_WL 1
AZ079 JP_WL JP_WL 1
AZ080 JP_WL JP_WL 1
AZ082 JP_WL JP_WL 1
AZ083 JP_WL JP_WL 1
AZ084 JP_WL JP_WL 1
AZ085 JP_WL JP_WL 1
AZ087 JP_WL JP_WL 1
AZ088 JP_WL JP_WL 1
AZ089 JP_WL JP_WL 1
AZ097 JP_WL JP_WL 1
AZ100 JP_WL JP_WL 1
AZ101 JP_WL JP_WL 1
AZ102 JP_WL JP_WL 1
AZ103 JP_WL JP_WL 1
AZ104 JP_WL JP_WL 1
AZ108 JP_WL JP_WL 1
AZ109 JP_WL JP_WL 1
AZ110 JP_WL JP_WL 1
AZ111 JP_WL JP_WL 1
AZ115 JP_WL JP_WL 1
AZ116 JP_WL JP_WL 1
AZ117 JP_WL JP_WL 1
AZ118 JP_LR JP_LR 1
AZ121 JP_WL JP_WL 1
AZ123 JP_WL JP_WL 1
AZ125 JP_WL JP_WL 1
AZ126 JP_WL JP_WL 1
AZ127 JP_WL JP_WL 1
AZ128 JP_WL JP_WL 1
AZ130 JP_WL JP_WL 1
AZ133 JP_WL JP_WL 1
AZ134 JP_WL JP_WL 1
AZ138 JP_WL JP_WL 1
AZ139 JP_WL JP_WL 1
AZ140 JP_WL JP_WL 1
AZ142 JP_WL JP_WL 1
AZ143 JP_WL JP_WL 1
AZ144 JP_WL JP_WL 1
AZ145 JP_WL JP_WL 1
AZ146 JP_WL JP_WL 1
AZ147 JP_WL JP_WL 1
AZ148 JP_WL JP_WL 1
AZ149 JP_WL JP_WL 1
AZ160 JP_LR JP_LR 1
AZ161 JP_LR JP_LR 1
AZ164 JP_LR JP_LR 1
AZ168 JP_LR JP_LR 1
AZ172 JP_LR JP_LR 1
AZ191 JP_LR JP_LR 1
AZ193 JP_LR JP_LR 1
AZ194 JP_LR JP_LR 1
AZ202 JP_LR JP_LR 1
AZ212 JP_LR JP_LR 1
AZ215 JP_LR JP_LR 1
AZ218 JP_LR JP_LR 1
AZ223 JP_LR JP_LR 1
AZ235 JP_LR JP_LR 1
AZ236 JP_LR JP_LR 1
AZ238 JP_LR JP_LR 1
AZ239 JP_LR JP_LR 1
AZ244 JP_LR JP_LR 1
AZ248 JP_LR JP_LR 1
AZ252 JP_LR JP_LR 1
AZ253 JP_LR JP_LR 1
AZ256 JP_LR JP_LR 1
AZ258 JP_LR JP_LR 1
AZ266 JP_LR JP_LR 1
AZ268 JP_LR JP_LR 1
AZ271 JP_LR JP_LR 1
AZ272 JP_LR JP_LR 1
AZ278 JP_LR JP_LR 1
AZ280 JP_LR JP_LR 1
AZ289 JP_LR JP_LR 1
AZ292 JP_LR JP_LR 1
AZ295 JP_LR JP_LR 1
AZ296 JP_LR JP_LR 1
AZ297 JP_LR JP_LR 1
AZ298 JP_LR JP_LR 1
AZ299 JP_LR JP_LR 1
AZ301 JP_LR JP_LR 1
AZ302 JP_LR JP_LR 1
AZ312 JP_WL JP_WL 1
AZ313 JP_WL JP_WL 1
AZ319 JP_LR JP_LR 1
AZ321 JP_LR JP_LR 1
AZ322 JP_LR JP_LR 1
AZ324 JP_LR JP_LR 1
