chr	pos	rate	cM
Chr01	263685	4.10929498	0
Chr01	1568045	4.84058157	5.36
Chr01	1910979	3.811306649	7.02
Chr01	3960145	3.416426925	14.83
Chr01	5142667	3.042381049	18.87
Chr01	6023556	4.21472937	21.55
Chr01	6248956	2.242892833	22.5
Chr01	6409463	2.85276368	22.86
Chr01	6795054	1.495656365	23.96
Chr01	7035751	2.837520205	24.32
Chr01	7744116	3.182018212	26.33
Chr01	8187231	2.191760065	27.74
Chr01	8556797	2.36646344	28.55
Chr01	10306243	6.636580834	32.69
Chr01	10336379	1.417836382	32.89
Chr01	10484492	0.629945069	33.1
Chr01	11119468	2.261326825	33.5
Chr01	11676663	4.177667859	34.76
Chr01	11796347	1.900172477	35.26
Chr01	13096229	0.848192031	37.73
Chr01	14345946	0.352477565	38.79
Chr01	15055211	0.131434024	39.04
Chr01	15435630	0	39.09
Chr01	15603287	1.389638853	39.09
Chr01	15855151	0.392673428	39.44
Chr01	16135282	1.367951629	39.55
Chr01	16208384	0.288575304	39.65
Chr01	16381649	1.256204754	39.7
Chr01	16938883	0.789404031	40.4
Chr01	17584940	0.728523138	40.91
Chr01	17722204	0.219736755	41.01
Chr01	18177294	0	41.11
Chr01	18883182	0.560427382	41.11
Chr01	19596923	1.12880407	41.51
Chr01	20128459	0.886544014	42.11
Chr01	21098518	0.333263348	42.97
Chr01	21398581	0.645945951	43.07
Chr01	21940422	0.389532483	43.42
Chr01	22453858	0.770653514	43.62
Chr01	22518738	1.397599623	43.67
Chr01	22633220	4.042952326	43.83
Chr01	22695056	0.235037512	44.08
Chr01	22907788	0.85741233	44.13
Chr01	23082733	1.219998211	44.28
Chr01	23205684	0.792192154	44.43
Chr01	23773728	0.693593734	44.88
Chr01	24797382	0.35144246	45.59
Chr01	26220090	0.508643019	46.09
Chr01	26731254	0	46.35
Chr01	26834125	0.871924468	46.35
Chr01	27522258	0.78486621	46.95
Chr01	28031899	0.965168154	47.35
Chr01	28404891	0.896082166	47.71
Chr01	29632457	0	48.81
Chr01	29658085	0.218500909	48.81
Chr01	29886917	0.85330126	48.86
Chr01	30133020	0.776403861	49.07
Chr01	31356610	0.257918418	50.02
Chr01	32132049	0.902771509	50.22
Chr01	32807746	0.354246052	50.83
Chr01	33654615	0	51.13
Chr01	33820308	0	51.13
Chr01	34129989	0	51.13
Chr01	34271313	0	51.13
Chr01	34445201	0	51.13
Chr01	34660253	0	51.13
Chr01	35495806	0	51.13
Chr01	36480777	0.944956049	51.13
Chr01	38396210	1.166265248	52.94
Chr01	38962119	0.325535669	53.6
Chr01	39422898	1.256455038	53.75
Chr01	40059610	1.114258654	54.55
Chr01	40292949	1.441844944	54.81
Chr01	42366681	2.124787521	57.8
Chr01	42606705	0.820784451	58.31
Chr01	42789457	7.475797107	58.46
Chr01	42842963	1.741594539	58.86
Chr01	43394182	2.41069712	59.82
Chr01	44458049	1.806482381	62.24
Chr01	44734830	0.459071482	62.74
Chr01	44952661	3.504822032	62.84
Chr01	45383496	2.384715637	64.35
Chr01	45744126	1.26548639	65.21
Chr01	46139231	2.659708927	65.71
Chr01	46594168	2.690382714	66.92
Chr01	47315255	2.314662236	68.86
Chr01	47967618	2.493236986	70.37
Chr01	49118732	2.937255959	73.24
Chr01	50858451	0	78.35
Chr01	50868930	2.441368205	78.35
Chr01	51446475	2.658693232	79.76
Chr01	52454489	2.946854611	82.44
Chr01	52983867	2.051231559	84
Chr01	53105745	2.510662198	84.25
Chr01	54029804	4.442981734	86.57
Chr01	54212114	1.403628921	87.38
Chr01	55508753	0	89.2
Chr01	56410773	0	89.2
Chr01	56628377	0	89.2
Chr01	57021837	0	89.2
Chr01	57350366	0	89.2
Chr01	57498156	0	89.2
Chr01	57606369	0	89.2
Chr01	58019690	0	89.2
Chr01	58818529	0.464307679	89.2
Chr01	60132313	2.38965225	89.81
Chr01	60492198	3.631298033	90.67
Chr01	61131088	2.859790377	92.99
Chr01	62470347	2.188057335	96.82
Chr01	62954795	0.66357441	97.88
Chr01	63105494	4.727873149	97.98
Chr01	64218045	3.843455449	103.24
Chr01	64545875	5.369623988	104.5
Chr01	65778736	6.618838584	111.12
Chr01	66567394	4.11947521	116.34
Chr02	29293	4.535546629	0
Chr02	1596910	5.827538109	7.11
Chr02	2499521	4.759253987	12.37
Chr02	2970183	3.422128564	14.61
Chr02	3636435	2.136943083	16.89
Chr02	3893812	2.877286481	17.44
Chr02	4439465	4.620795495	19.01
Chr02	5274819	1.768415241	22.87
Chr02	5506665	3.144785945	23.28
Chr02	5649759	3.799273778	23.73
Chr02	5810316	2.73462892	24.34
Chr02	6033381	2.931163458	24.95
Chr02	6360896	2.901579268	25.91
Chr02	7077747	2.187877941	27.99
Chr02	7406833	4.745101761	28.71
Chr02	7522742	1.111901797	29.26
Chr02	7657646	5.398570799	29.41
Chr02	7798424	3.835519439	30.17
Chr02	8035680	0.991329174	31.08
Chr02	8186992	3.148438519	31.23
Chr02	8669771	4.458490543	32.75
Chr02	8999479	2.525513901	34.22
Chr02	9241014	0.996512207	34.83
Chr02	9291189	1.541619238	34.88
Chr02	9849044	1.880909257	35.74
Chr02	10465767	2.878723492	36.9
Chr02	10976410	2.787682731	38.37
Chr02	11302846	0	39.28
Chr02	11353572	1.653775352	39.28
Chr02	11722425	3.223633841	39.89
Chr02	11896142	2.255020239	40.45
Chr02	12073524	3.553867307	40.85
Chr02	12245168	1.317089233	41.46
Chr02	12397018	0.643635022	41.66
Chr02	13096172	0.758880803	42.11
Chr02	13359718	0.947250949	42.31
Chr02	14373177	0.328388891	43.27
Chr02	14677694	0.798719493	43.37
Chr02	14990695	1.315789474	43.62
Chr02	15302295	0.649705034	44.03
Chr02	16071875	0.457034214	44.53
Chr02	16290677	0.428340736	44.63
Chr02	16524136	0.920301859	44.73
Chr02	17023972	0.263209844	45.19
Chr02	18543672	0	45.59
Chr02	18981480	0.168425024	45.59
Chr02	19278348	0.266639647	45.64
Chr02	19465867	0	45.69
Chr02	20175496	0	45.69
Chr02	20772645	0	45.69
Chr02	21177872	0	45.69
Chr02	21751520	0	45.69
Chr02	22659207	0	45.69
Chr02	23411039	0	45.69
Chr02	24486132	0	45.69
Chr02	24823125	0	45.69
Chr02	25457820	0	45.69
Chr02	25694382	0	45.69
Chr02	25783057	0.190217495	45.69
Chr02	26045914	0.167457625	45.74
Chr02	26941663	0.525318721	45.89
Chr02	27246240	0	46.05
Chr02	27566131	0.2490933	46.05
Chr02	28168315	0.337239011	46.2
Chr02	29650943	0.721334866	46.7
Chr02	30912493	0.223447709	47.61
Chr02	31583791	1.46768524	47.76
Chr02	31720060	0	47.96
Chr02	31949888	0.80262834	47.96
Chr02	32136774	1.042364023	48.11
Chr02	32817918	1.116810983	48.82
Chr02	33220851	0.358525742	49.27
Chr02	33360311	0.945607316	49.32
Chr02	33952523	1.604404885	49.88
Chr02	35086900	1.30102071	51.7
Chr02	35594194	0	52.36
Chr02	35646001	1.97409981	52.36
Chr02	35797969	2.332714516	52.66
Chr02	36518160	1.930610354	54.34
Chr02	36803044	1.398937596	54.89
Chr02	37310572	2.914506443	55.6
Chr02	37554181	3.073424102	56.31
Chr02	37586718	3.557004706	56.41
Chr02	37856608	1.029286636	57.37
Chr02	38148072	0.457816763	57.67
Chr02	38366500	3.430252847	57.77
Chr02	38870836	2.941699867	59.5
Chr02	39146187	1.285578382	60.31
Chr02	39223973	3.314287848	60.41
Chr02	39652421	1.44742338	61.83
Chr02	39894230	3.320821551	62.18
Chr02	40092976	0.539589696	62.84
Chr02	40278302	3.08199361	62.94
Chr02	40755266	3.173766552	64.41
Chr02	41108159	1.793128181	65.53
Chr02	41253157	0.770226138	65.79
Chr02	41642653	4.009983735	66.09
Chr02	42176321	1.737866982	68.23
Chr02	42527326	3.085031474	68.84
Chr02	42951957	1.465575522	70.15
Chr02	43163478	1.522425325	70.46
Chr02	43360532	6.737996492	70.76
Chr02	43532690	0.596615994	71.92
Chr02	43616496	3.491001415	71.97
Chr02	44750841	4.117233756	75.93
Chr02	44974292	5.410396786	76.85
Chr02	46266249	3.214552966	83.84
